Absolute Time	Seconds	R_CenterX	R_CenterY	R_Area	R_RadiusRotated1	R_RadiusRotated2	R_AreaDiff	R_RadiusX	R_RadiusY	R_RadiusSum	R_RadiusDiff	PyroTemp	Htr_Uctrl	Htr_U	Htr_I	Htr_FREQ	Pos_Uctrl	Pos_U	Pos_I	Pos_FREQ	Lin.Drive	Cycle	Step	PS_UHV	PS_1	PS_2	Exp#	Pos_On	Htr_On	H_HF_On	Rot Pos	AxMirror	RadMirror	GasValCFG	PumpSpeed	Emmis.	HCE_Cycle
hh:mm:ss.xxxx		[Pixel]	[Pixel]						[Pixel]	[Pixel]	[Pixel]	degC	V	V	A	Hz	V	V	A	Hz	mm				mbar	mbar											
23:16:13.7844	83773.784	350.76318	290.67285	473292406784.00000	192.43791	322.78973	-473288998912.00000	698.61572	277.84183	976.45752	420.77390	1539.80005	4.60120	97.34163	6.77625	372016.90625	9.76882	132.98938	15.07226	147805.17188	152.12015	2.00000	15.00000	10.02100	354.74042	354.49515	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09624	0.25000	2.00000
23:16:13.7869	83773.787	349.06500	288.27356	3700783360.00000	268.01688	319.94962	-3700367616.00000	482.87988	279.44171	762.32159	203.43817	1539.80005	4.60120	97.34163	6.77625	372016.90625	9.76882	132.98938	15.07226	147805.17188	152.12015	2.00000	15.00000	10.02100	354.74042	354.49515	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09624	0.25000	2.00000
23:16:13.7894	83773.789	349.06500	288.27356	3700783360.00000	268.01688	319.94962	-3700367616.00000	482.87988	279.44171	762.32159	203.43817	1541.40002	4.60120	97.34163	6.77625	372016.90625	9.76882	132.98938	15.07226	147805.17188	152.12015	2.00000	15.00000	10.02100	354.74042	354.49515	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09624	0.25000	2.00000
23:16:13.7919	83773.792	361.12265	302.55188	226388836352.00000	31.78702	320.67032	-226372517888.00000	220.01933	259.88193	479.90125	-39.86259	1541.40002	4.60120	97.34163	6.77625	372016.90625	9.76882	132.98938	15.07226	147805.17188	152.12015	2.00000	15.00000	10.02100	354.74042	354.49515	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09624	0.25000	2.00000
23:16:13.7944	83773.794	361.12265	302.55188	226388836352.00000	31.78702	320.67032	-226372517888.00000	220.01933	259.88193	479.90125	-39.86259	1541.40002	4.60120	97.34163	6.77625	372016.90625	9.76882	132.98938	15.07226	147805.17188	152.12015	2.00000	15.00000	10.02100	354.74042	354.49515	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09624	0.25000	2.00000
23:16:13.7969	83773.797	357.34433	297.80136	20047046656.00000	51.62690	287.93726	-20046837760.00000	77.81163	263.62302	341.43463	-185.81139	1541.40002	4.60120	97.34163	6.77625	372016.90625	9.76882	132.98938	15.07226	147805.17188	152.12015	2.00000	15.00000	10.02100	354.74042	354.49515	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09624	0.25000	2.00000
23:16:13.7994	83773.799	357.34433	297.80136	20047046656.00000	51.62690	287.93726	-20046837760.00000	77.81163	263.62302	341.43463	-185.81139	1537.40002	4.60120	97.34163	6.77625	372016.90625	9.76882	132.98938	15.07226	147805.17188	152.12015	2.00000	15.00000	10.02100	354.74042	354.49515	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09624	0.25000	2.00000
23:16:13.8019	83773.802	357.34433	297.80136	20047046656.00000	51.62690	287.93726	-20046837760.00000	77.81163	263.62302	341.43463	-185.81139	1537.40002	4.60120	97.34163	6.77625	372016.90625	9.76882	132.98938	15.07226	147805.17188	152.12015	2.00000	15.00000	10.02100	354.74042	354.49515	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09624	0.25000	2.00000
23:16:13.8044	83773.804	357.34433	297.80136	20047046656.00000	51.62690	287.93726	-20046837760.00000	77.81163	263.62302	341.43463	-185.81139	1537.40002	4.60120	97.34163	6.77625	372016.90625	9.76882	132.98938	15.07226	147805.17188	152.12015	2.00000	15.00000	10.02100	354.74042	354.49515	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09624	0.25000	2.00000
