Absolute Time	Seconds	A_CenterX	A_CenterY	A_Area	A_RadiusRotated1	A_RadiusRotated2	A_AreaDiff	A_RadiusX	A_RadiusY	A_RadiusSum	A_RadiusDiff	PyroTemp	Htr_Uctrl	Htr_U	Htr_I	Htr_FREQ	Pos_Uctrl	Pos_U	Pos_I	Pos_FREQ	Lin.Drive	Cycle	Step	PS_UHV	PS_1	PS_2	Exp#	Pos_On	Htr_On	H_HF_On	Rot Pos	AxMirror	RadMirror	GasValCFG	PumpSpeed	Emmis.	HCE_Cycle
hh:mm:ss.xxxx		[Pixel]	[Pixel]						[Pixel]	[Pixel]	[Pixel]	degC	V	V	A	Hz	V	V	A	Hz	mm				mbar	mbar											
02:05:58.6028	7558.603	197.38435	188.05231	39009.33594	115.50748	111.92683	3521.54565	114.10759	103.72371	217.83130	10.38388	1294.50000	8.42389	175.28261	13.58225	371775.00000	9.76852	132.99406	15.15838	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.78940	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6095	7558.610	197.45021	187.92699	38800.62500	115.90418	111.85107	3850.62280	113.99531	102.77135	216.76666	11.22396	1295.00000	8.42389	175.28261	13.58225	371775.00000	9.76852	132.99406	15.15838	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.78940	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6161	7558.616	197.22536	188.57970	39298.33203	115.04946	112.21605	3111.05176	114.13805	105.09718	219.23523	9.04086	1293.40002	8.42389	175.28261	13.58225	371775.00000	9.76852	132.99406	15.15838	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.78940	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6228	7558.623	197.31763	188.29460	39058.05859	115.64929	112.00254	3488.86060	114.17880	103.64436	217.82315	10.53445	1293.40002	8.42389	175.28261	13.58225	371775.00000	9.76852	132.99406	15.15838	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.78940	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6295	7558.630	197.17450	188.68779	39254.75000	115.30511	112.28070	3206.89063	114.19603	104.60414	218.80017	9.59189	1291.90002	8.42389	175.28261	13.58225	371775.00000	9.76852	132.99406	15.15838	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.78940	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6361	7558.636	197.22064	188.48764	39082.27734	115.81103	112.13114	3504.53247	114.19946	103.40908	217.60855	10.79038	1292.69995	8.42389	175.28261	13.58225	371775.00000	9.76852	132.99406	15.15838	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.78940	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6428	7558.643	197.11258	188.62547	39159.35938	115.71143	112.14861	3395.77808	114.29845	103.65179	217.95023	10.64666	1292.69995	8.42389	175.28261	13.58225	371775.00000	9.76852	132.99406	15.15838	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.78940	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6495	7558.650	197.09647	188.76990	39133.78125	115.69990	112.16594	3421.59277	114.26931	103.62076	217.89008	10.64855	1295.50000	8.42389	175.28261	13.58225	371775.00000	9.76852	132.99406	15.15838	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.78940	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6561	7558.656	197.05504	188.74471	39109.41406	115.86328	112.10829	3480.77856	114.29422	103.24866	217.54288	11.04556	1296.69995	8.42389	175.28261	13.58225	371775.00000	9.76852	132.99406	15.15838	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.78940	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6628	7558.663	196.88806	189.10397	39358.79688	115.36172	112.30005	3093.52466	114.35307	104.63066	218.98373	9.72240	1296.69995	8.42389	175.28261	13.58225	371775.00000	9.76852	132.99406	15.15838	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.78940	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6695	7558.670	196.64655	189.65843	39746.33594	114.80105	112.66583	2560.61963	114.34459	106.74537	221.08997	7.59922	1293.90002	8.42374	175.27913	13.57776	371779.15625	9.76867	132.98233	15.15943	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.49515	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6761	7558.676	196.42653	190.19785	40086.31641	114.36422	113.12151	2186.95581	114.16702	109.22402	223.39104	4.94299	1296.40002	8.42374	175.27913	13.57776	371779.15625	9.76867	132.98233	15.15943	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.49515	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
02:05:58.6828	7558.683	196.46164	189.91032	39712.74219	114.72488	112.71722	2601.15552	114.35539	106.60228	220.95767	7.75311	1296.40002	8.42374	175.27913	13.57776	371779.15625	9.76867	132.98233	15.15943	147795.90625	152.13309	5.00000	11.00000	10.02100	354.81369	354.49515	2.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.00000	0.25000	5.00000
